id_code	xml_id	description	parent_taxonomy_id	parent_id	eagle_uri	sort_order	notes	old_id	latnow_attr_id	fair_epigraphy_uri	is_deprecated	wikidata_id
20800	material.stone.sandstone.grey	Grey sandstone	RIB-material	20590		0		248	2245		False	Q13085
20810	material.stone.sandstone.greywacke	Greywacke sandstone	RIB-material	20590		0		249	2218		False	Q917545
20820	material.stone.sandstone.grit-hoar-edge	Hoar Edge grit sandstone	RIB-material	20590		0		0	2245		False	Q1048392
20830	material.stone.sandstone.micaceous	Micaceous sandstone	RIB-material	20590		0		251	2245		False	
20840	material.stone.sandstone.red	Red sandstone	RIB-material	20590		0		252	2245		False	Q13085
20850	material.wood.alder	Alder	RIB-material	20140		0		275	2032		False	Q1355553
20860	material.wood.larch	Larch	RIB-material	20140		0		276	2032		False	Q61996280
20870	material.wood.maple	Maple	RIB-material	20140		0		277	2032		False	Q402516
20880	material.wood.oak	Oak	RIB-material	20140		0		278	2032		False	Q2075708
20890	material.wood.silver_fir	Silver fir	RIB-material	20140		0		279	2032		False	Q146992
20900	material.wood.spruce	Spruce	RIB-material	20140		0		280	2032		False	Q2046308
20910	material.wood.willow	Willow	RIB-material	20140		0		281	2032		False	Q36050
20920	material.ceramic.coarseware	Coarseware	RIB-material	20020		0		0	2395		False	Q99743238
20930	material.ceramic.fineware	Fineware	RIB-material	20020		0		0	2385		False	
20940	material.ceramic.greyware	Greyware	RIB-material	20020		0		0	2077		False	Q41623931
20950	material.ceramic.terrasigillata	Terra sigillata	RIB-material	20020		0		0	2334		False	Q367622
20960	material.stone.marble.green	Green marble	RIB-material	20560		0		0	2159		False	Q123819465
20970	material.stone.marble.black	Black marble	RIB-material	20560		0		0	2159		False	Q117052975
20980	material.stone.freestone	Freestone	RIB-material	20100		0		0	2103		False	Q107196234
20990	material.stone.sandstone.calcareous	Calcareous sandstone	RIB-material	20590		0		0	2245		False	Q131565171
21000	material.stone.sandstone.buff_or_lighter	Buff-or-lighter sandstone	RIB-material	20590		0		0	2245		False	Q13085
21010	material.stone.sandstone.cream-coloured	Cream-coloured sandstone	RIB-material	20590		0		0	2245		False	Q13085
21020	material.stone.sandstone.cream-coloured.Manley	Cream-coloured Manley sandstone	RIB-material	20590		0		0	2245		False	Q13085
21030	material.stone.sandstone.Keuper	Keuper sandstone	RIB-material	20590		0	Now known as Sherwood Sandstone	0	2245		False	
21040	material.stone.sandstone.green	Green sandstone	RIB-material	20590		0		0	2245		False	Q13085
21050	material.stone.sandstone.greyish	Greyish sandstone	RIB-material	20590		0		0	2245		False	Q13085
21060	material.stone.sandstone.light-coloured	Light-coloured sandstone	RIB-material	20590		0		0	2245		False	Q13085
21070	material.stone.sandstone.Pennant	Pennant sandstone	RIB-material	20590		0		0	2245		False	
21080	material.stone.sandstone.reddish	Reddish sandstone	RIB-material	20590		0		0	2245		False	Q13085
21090	material.stone.sandstone.Rhaetic	Rhaetic sandstone	RIB-material	20590		0		0	2245		False	
21100	material.stone.sandstone.white	White sandstone	RIB-material	20590		0		0	2245		False	Q13085
21110	material.stone.sandstone.whitish	Whitish sandstone	RIB-material	20590		0		0	2245		False	Q13085
21120	material.stone.sandstone.whitish-buff	Whitish-buff sandstone	RIB-material	20590		0		0	2245		False	Q13085
21130	material.stone.sandstone.yellow	Yellow sandstone	RIB-material	20590		0		0	2245		False	Q13085
21140	material.stone.sandstone.yellow-buff	Yellow-buff sandstone	RIB-material	20590		0		0	2245		False	Q13085
21150	material.stone.sandstone.yellowish-buff	Yellowish-buff sandstone	RIB-material	20590		0		0	2245		False	Q13085
21160	material.stone.freestone.white	White freestone	RIB-material	20980		0		0	2103		False	Q107196234
21170	material.stone.gritstone.Millstone	Millstone grit	RIB-material	20530		0		0	2189		False	Q6860042
21180	material.stone.gritstone.red	Red gritstone	RIB-material	20530		0		0	2125		False	Q1048392
21190	material.stone.gritstone.reddish	Reddish gritstone	RIB-material	20530		0		0	2125		False	Q1048392
21200	material.stone.limestone.magnesian.buff	Buff magnesian limestone	RIB-material	20750		0		0	2387		False	Q6731360
