id_code	name	variant_type	parent_table_id	parent_id	certainty_id	language_attribute_id	related_entity_id	notes
311	Brocavum	101	94	1916	1	1050	0	
312	Aballaba	101	94	1917	1	1050	0	
313	Appleby-in-Westmorland	102	94	1917	1	1400	0	
314	Mediobogdum	101	94	1920	1	1050	0	
315	Hardknot	102	94	1920	1	1400	0	
316	Glannoventa	101	94	1921	1	1050	0	
317	Gabrosentum	101	94	1923	1	1050	0	
318	Magis	101	94	1924	1	1050	0	
319	Alauna	101	94	1925	1	1050	0	
320	Bibra	101	94	1926	1	1050	0	
321	Derventio	101	94	1928	1	1050	0	
322	Maglona	101	94	1929	1	1050	0	
323	Voreda	101	94	1931	1	1050	0	
324	Bereda	101	94	1931	1	1050	0	
325	Fanum Cocidi	101	94	1933	1	1050	0	
326	Concangis	101	94	1937	1	1050	0	
327	Vindomora	101	94	1939	1	1050	0	
328	Epiacum	101	94	1940	1	1050	0	
329	Habitancum	101	94	1942	1	1050	0	
330	Segedunum	101	94	1943	1	1050	0	
331	Stott's House Farm	102	94	1944	1	1400	0	
332	Condercum	101	94	1948	1	1050	0	
333	Vindobala	101	94	1956	1	1050	0	
334	Vindovala	101	94	1956	1	1050	0	
335	Onnum	101	94	1962	1	1050	0	
